Date,Open,High,Low,Close,Adj Close,Volume
1/1/1962,0.751202,0.763722,0.691106,0.751202,0.001794,39896200
2/1/1962,0.751202,0.78125,0.736178,0.747446,0.001786,28464400
3/1/1962,0.751202,0.786258,0.751202,0.769982,0.001839,28883600
4/1/1962,0.76873,0.76873,0.676082,0.686098,0.001649,34395100
5/1/1962,0.686098,0.723658,0.600962,0.658554,0.001583,60642800
6/1/1962,0.658554,0.664814,0.543369,0.595954,0.001433,50249800
7/1/1962,0.595954,0.667318,0.592198,0.664814,0.001611,34854100
8/1/1962,0.664814,0.69987,0.644782,0.686098,0.001662,32457700
9/1/1962,0.686098,0.68735,0.620994,0.639774,0.00155,27306300
10/1/1962,0.639774,0.686098,0.63101,0.678586,0.001656,35533100
11/1/1962,0.678586,0.75621,0.672326,0.748698,0.001827,36871200
12/1/1962,0.748698,0.777494,0.742438,0.76873,0.001876,29143200
1/1/1963,0.76873,0.795022,0.757462,0.783754,0.001925,37719400
2/1/1963,0.783754,0.792518,0.727414,0.728666,0.00179,24411000
3/1/1963,0.729918,0.752454,0.71865,0.747446,0.001836,24930200
4/1/1963,0.747446,0.801282,0.728666,0.788762,0.001951,38827600
5/1/1963,0.791266,0.84385,0.791266,0.841346,0.002081,38308800
6/1/1963,0.841346,0.845102,0.778746,0.791266,0.001957,23642100
7/1/1963,0.790014,0.810046,0.76247,0.782502,0.001948,24001600
8/1/1963,0.782502,0.822566,0.779998,0.816306,0.002032,21545400
9/1/1963,0.816306,0.838842,0.792518,0.795022,0.001979,30221400
10/1/1963,0.795022,0.853866,0.776242,0.838842,0.002101,35842800
11/1/1963,0.838842,0.842598,0.751202,0.826322,0.002069,24690500
12/1/1963,0.826322,0.876402,0.820062,0.872646,0.002185,36781000
1/1/1964,0.872646,0.88141,0.846354,0.880158,0.002219,29672400
2/1/1964,0.88141,0.898938,0.846354,0.857622,0.002162,27995200
3/1/1964,0.860126,0.91271,0.848858,0.873898,0.002203,43770000
4/1/1964,0.87515,0.892678,0.823818,0.82507,0.002093,33117000
5/1/1964,0.826322,0.845102,0.80629,0.811298,0.002058,36761100
6/1/1964,0.811298,0.81255,0.788762,0.798778,0.002026,41453800
7/1/1964,0.80003,0.858874,0.80003,0.835086,0.002133,49290900
8/1/1964,0.835086,0.847606,0.811298,0.841346,0.002149,36321500
9/1/1964,0.841346,0.90019,0.836338,0.895182,0.002287,35692800
10/1/1964,0.895182,0.901442,0.845102,0.876402,0.002253,30181400
11/1/1964,0.876402,0.93775,0.872646,0.927734,0.002385,35772600
